date,var,value
2000-01-03,A,2.3364118141886667
2000-01-04,A,-0.3220570003277885
2000-01-05,A,-1.130996568450763
2000-01-06,A,0.5873750727213828
2000-01-07,A,0.8743138566664178
2000-01-10,A,1.631742922224532
2000-01-11,A,0.8168688560588422
2000-01-12,A,0.5038625434517133
2000-01-13,A,1.7553938108721532
2000-01-14,A,-0.751746583323896
2000-01-17,A,0.9290738996683918
2000-01-18,A,0.4280517598350494
2000-01-19,A,1.6928627417413082
2000-01-20,A,-0.6826292272203002
2000-01-21,A,-0.5424352455271056
2000-01-24,A,-0.3898617272626756
2000-01-25,A,-1.7075283576387044
2000-01-26,A,-0.2371482012726986
2000-01-27,A,0.2017075886440262
2000-01-28,A,-0.6557504246107433
2000-01-31,A,0.3894756450607627
2000-02-01,A,0.3769072259769271
2000-02-02,A,0.911128700198088
2000-02-03,A,-0.4030412880269944
2000-02-04,A,1.250868985281656
2000-02-07,A,-0.5063945444819726
2000-02-08,A,0.3960525427943818
2000-02-09,A,-0.2053129667960061
2000-02-10,A,-0.6222230683649652
2000-02-11,A,0.291731563472429
2000-01-03,B,0.5668055746417177
2000-01-04,B,-1.6177166779463368
2000-01-05,B,-0.1102664339948589
2000-01-06,B,-0.5387135415144806
2000-01-07,B,0.6722278897833591
2000-01-10,B,0.3960136153947144
2000-01-11,B,-2.1539771211425403
2000-01-12,B,0.0534171213211054
2000-01-13,B,-0.5650068035006424
2000-01-14,B,-0.3463696339533035
2000-01-17,B,-1.403660700899453
2000-01-18,B,-0.6712067246648403
2000-01-19,B,0.6349565791038186
2000-01-20,B,-1.213475014096864
2000-01-21,B,0.2491457456706788
2000-01-24,B,-1.050816613533914
2000-01-25,B,-0.7565113293510676
2000-01-26,B,-0.0113838107796342
2000-01-27,B,1.0793234249063928
2000-01-28,B,-0.2065148465884846
2000-01-31,B,0.3855689445169209
2000-02-01,B,-0.6888318963989151
2000-02-02,B,-0.0011591899031035
2000-02-03,B,1.0427484394454194
2000-02-04,B,0.2377861600893634
2000-02-07,B,1.2441989579452395
2000-02-08,B,1.1059629589452111
2000-02-09,B,-0.6638969324231855
2000-02-10,B,-1.8209222628934605
2000-02-11,B,-0.3793766335160242
2000-01-03,C,1.9293476687534536
2000-01-04,C,-0.7592772151067572
2000-01-05,C,-0.2867350834257586
2000-01-06,C,-0.919953413937857
2000-01-07,C,0.7361423833916987
2000-01-10,C,-2.354281029885816
2000-01-11,C,1.1390580959797565
2000-01-12,C,1.932341593603472
2000-01-13,C,-1.177466873691294
2000-01-14,C,0.6684031936340039
2000-01-17,C,-0.4886757500732024
2000-01-18,C,0.1281736227178467
2000-01-19,C,0.4658780982705681
2000-01-20,C,0.1208071894494825
2000-01-21,C,-0.434428712653046
2000-01-24,C,-0.7539094154571765
2000-01-25,C,0.9512065635938912
2000-01-26,C,-0.8449065968411902
2000-01-27,C,0.5594562246549335
2000-01-28,C,1.5518750813259812
2000-01-31,C,0.0423715828511935
2000-02-01,C,-0.2612687362038398
2000-02-02,C,0.6282686330083791
2000-02-03,C,-0.1566440929687214
2000-02-04,C,-1.990113993557472
2000-02-07,C,-0.3807491865639833
2000-02-08,C,1.544046998023853
2000-02-09,C,0.9774291531623158
2000-02-10,C,-1.4347415701849082
2000-02-11,C,0.4475860658087933
2000-01-03,D,-1.3651788996631762
2000-01-04,D,1.3183931448311932
2000-01-05,D,0.6399406464027022
2000-01-06,D,1.1294669007386369
2000-01-07,D,0.7800836973552577
2000-01-10,D,-0.2796498849075275
2000-01-11,D,1.0171130212659216
2000-01-12,D,0.3270622823882013
2000-01-13,D,1.023048133076192
2000-01-14,D,-0.5362918530261173
2000-01-17,D,1.5403539403177482
2000-01-18,D,-0.6759765934341843
2000-01-19,D,0.8920997984007116
2000-01-20,D,0.2739010748899937
2000-01-21,D,-1.2275063531290906
2000-01-24,D,0.4021581786175971
2000-01-25,D,-0.5818162408012126
2000-01-26,D,0.7898778737431996
2000-01-27,D,0.2399624999194474
2000-01-28,D,0.7693207858908232
2000-01-31,D,-0.7300475670031141
2000-02-01,D,0.6106737871776461
2000-02-02,D,1.3515458794523725
2000-02-03,D,-0.7528859820236777
2000-02-04,D,-0.2757561874636972
2000-02-07,D,-1.3607812693367365
2000-02-08,D,0.8154007167663218
2000-02-09,D,-0.1551339875798371
2000-02-10,D,-2.6589165096533325
2000-02-11,D,0.7548543769622803
