FIPS,RegionName,var,value
6037,Los Angeles,2000,211716.66666666663
17031,Cook,2000,154141.66666666666
48201,Harris,2000,94266.66666666669
4013,Maricopa,2000,134366.66666666666
6073,San Diego,2000,238150.0
6059,Orange,2000,285941.6666666667
36047,Kings,2000,
12086,Miami-Dade,2000,115391.66666666669
48113,Dallas,2000,97158.33333333331
36081,Queens,2000,
6065,Riverside,2000,163825.0
6071,San Bernardino,2000,127391.66666666669
32003,Clark,2000,138100.0
53033,King,2000,238016.66666666663
26163,Wayne,2000,93083.33333333331
48439,Tarrant,2000,102750.0
6085,Santa Clara,2000,477308.3333333333
12011,Broward,2000,102675.0
48029,Bexar,2000,87408.33333333333
36061,New York,2000,773408.3333333334
42101,Philadelphia,2000,54250.0
6001,Alameda,2000,333825.0
25017,Middlesex,2000,266125.0
36103,Suffolk,2000,199383.3333333333
6067,Sacramento,2000,154383.33333333334
36005,Bronx,2000,
36059,Nassau,2000,262841.6666666667
12099,Palm Beach,2000,120341.66666666669
39035,Cuyahoga,2000,114008.33333333331
12057,Hillsborough,2000,97208.33333333331
42003,Allegheny,2000,80216.66666666667
26125,Oakland,2000,183533.3333333333
39049,Franklin,2000,114475.0
27053,Hennepin,2000,152591.66666666666
12095,Orange,2000,111691.66666666669
51059,Fairfax,2000,232475.0
6013,Contra Costa,2000,285916.6666666667
49035,Salt Lake,2000,164741.66666666666
48453,Travis,2000,153241.66666666666
29189,Saint Louis,2000,125416.66666666669
4019,Pima,2000,117891.66666666669
24031,Montgomery,2000,207816.66666666663
15003,Honolulu,2000,236475.0
36119,Westchester,2000,338991.6666666667
55079,Milwaukee,2000,84175.0
6019,Fresno,2000,104825.0
47157,Shelby,2000,96416.66666666669
13121,Fulton,2000,173208.33333333334
37119,Mecklenburg,2000,136958.33333333334
17043,Du Page,2000,196258.3333333333
9001,Fairfield,2000,283858.3333333333
12103,Pinellas,2000,92941.66666666669
34003,Bergen,2000,256783.3333333333
18097,Marion,2000,
37183,Wake,2000,163733.33333333334
9003,Hartford,2000,144541.66666666666
12031,Duval,2000,93191.66666666669
24033,Prince Georges,2000,137683.33333333334
9009,New Haven,2000,146950.0
26099,Macomb,2000,146983.33333333334
6029,Kern,2000,92425.0
6111,Ventura,2000,255825.0
34023,Middlesex,2000,169158.33333333334
13135,Gwinnett,2000,150966.66666666666
6075,San Francisco,2000,472083.3333333333
24005,Baltimore,2000,124658.33333333331
39061,Hamilton,2000,111958.33333333331
48141,El Paso,2000,75275.0
42091,Montgomery,2000,161391.66666666666
25027,Worcester,2000,158025.0
53053,Pierce,2000,159225.0
34013,Essex,2000,187708.3333333333
48085,Collin,2000,159150.0
36055,Monroe,2000,95741.66666666669
25009,Essex,2000,231525.0
41051,Multnomah,2000,157600.0
25025,Suffolk,2000,216150.0
40109,Oklahoma,2000,74741.66666666667
6081,San Mateo,2000,495933.3333333333
53061,Snohomish,2000,199591.66666666663
17097,Lake,2000,195266.66666666663
13089,Dekalb,2000,138316.66666666666
13067,Cobb,2000,152841.66666666666
6077,San Joaquin,2000,158883.33333333334
17197,Will,2000,151008.33333333334
29095,Jackson,2000,
25021,Norfolk,2000,247158.3333333333
48121,Denton,2000,146166.66666666666
35001,Bernalillo,2000,127241.66666666669
1073,Jefferson,2000,86725.0
34017,Hudson,2000,160333.33333333334
34025,Monmouth,2000,209925.0
47037,Davidson,2000,117391.66666666669
44007,Providence,2000,125783.33333333331
42017,Bucks,2000,170308.33333333334
8041,El Paso,2000,151683.33333333334
24510,Baltimore City,2000,59950.0
12071,Lee,2000,112575.0
40143,Tulsa,2000,83991.66666666667
26081,Kent,2000,122391.66666666669
12105,Polk,2000,88083.33333333333
11001,District of Columbia,2000,145708.33333333334
8031,Denver,2000,172991.66666666666
34029,Ocean,2000,145316.66666666666
8005,Arapahoe,2000,181050.0
25005,Bristol,2000,161375.0
20091,Johnson,2000,
12009,Brevard,2000,89933.33333333333
39153,Summit,2000,109750.0
10003,New Castle,2000,132583.33333333334
24003,Anne Arundel,2000,157583.33333333334
34039,Union,2000,187600.0
39113,Montgomery,2000,89866.66666666667
8059,Jefferson,2000,198316.66666666663
41067,Washington,2000,173608.33333333334
42071,Lancaster,2000,120866.66666666669
31055,Douglas,2000,108600.0
49049,Utah,2000,158408.33333333334
17089,Kane,2000,169325.0
6099,Stanislaus,2000,132391.66666666666
34007,Camden,2000,100941.66666666669
27123,Ramsey,2000,136100.0
34031,Passaic,2000,185216.66666666663
42029,Chester,2000,188500.0
20173,Sedgwick,2000,91741.66666666669
18089,Lake,2000,
25023,Plymouth,2000,193991.66666666663
12127,Volusia,2000,92458.33333333331
34027,Morris,2000,263808.3333333333
37081,Guilford,2000,108875.0
55025,Dane,2000,154216.66666666666
6097,Sonoma,2000,294233.3333333333
53063,Spokane,2000,107741.66666666669
36085,Richmond,2000,214516.66666666663
36067,Onondaga,2000,80666.66666666667
12101,Pasco,2000,92391.66666666669
25013,Hampden,2000,115541.66666666669
48339,Montgomery,2000,123950.0
45045,Greenville,2000,115341.66666666669
34005,Burlington,2000,135916.66666666666
6107,Tulare,2000,96200.0
39095,Lucas,2000,87725.0
8001,Adams,2000,162416.66666666666
22033,East Baton Rouge,2000,96608.33333333331
51810,Virginia Beach City,2000,122350.0
42133,York,2000,111916.66666666669
22051,Jefferson,2000,
47093,Knox,2000,99566.66666666669
19153,Polk,2000,111758.33333333331
26049,Genesee,2000,98950.0
53011,Clark,2000,157058.33333333334
6083,Santa Barbara,2000,294033.3333333333
12117,Seminole,2000,118191.66666666669
48491,Williamson,2000,137325.0
32031,Washoe,2000,162508.33333333334
6053,Monterey,2000,285766.6666666667
6095,Solano,2000,195166.66666666663
1097,Mobile,2000,77166.66666666667
42011,Berks,2000,106791.66666666669
51153,Prince William,2000,171491.66666666666
33011,Hillsborough,2000,143358.33333333334
27037,Dakota,2000,166825.0
16001,Ada,2000,133700.0
55133,Waukesha,2000,176366.66666666666
45079,Richland,2000,107208.33333333331
5119,Pulaski,2000,82025.0
12115,Sarasota,2000,126216.66666666669
41005,Clackamas,2000,186066.66666666663
4021,Pinal,2000,116433.33333333331
39151,Stark,2000,100066.66666666669
36071,Orange,2000,143025.0
39017,Butler,2000,124350.0
34021,Mercer,2000,142650.0
42129,Westmoreland,2000,76866.66666666667
29183,Saint Charles,2000,138933.33333333334
18003,Allen,2000,91491.66666666669
41039,Lane,2000,134725.0
37067,Forsyth,2000,112091.66666666669
45019,Charleston,2000,153325.0
42077,Lehigh,2000,114208.33333333331
6061,Placer,2000,232516.66666666663
