Index,var,value
A,A,1.0
B,A,0.8790236081861322
C,A,0.7789624017683044
D,A,0.9765381710701492
E,A,0.9188130663803296
F,A,-0.4094011595624395
G,A,-0.4216213551520529
H,A,-0.4578680381876131
I,A,-0.3681391774393323
J,A,-0.4813895969015147
A,B,0.8790236081861322
B,B,1.0
C,B,0.6245534201641117
D,B,0.9303197943172332
E,B,0.8902233924967423
F,B,-0.3157622611941439
G,B,-0.3269275794717522
H,B,-0.4534998998194681
I,B,-0.3029875317740618
J,B,-0.3294025834756106
A,C,0.7789624017683044
B,C,0.6245534201641117
C,C,1.0
D,C,0.7662872900459319
E,C,0.6571570573782957
F,C,-0.2024184797215252
G,C,-0.20755108590649
H,C,-0.2478944086224141
I,C,-0.2522519600531083
J,C,-0.2898221295093998
A,D,0.9765381710701492
B,D,0.9303197943172332
C,D,0.7662872900459319
D,D,1.0
E,D,0.9190600194379468
F,D,-0.3761669692039526
G,D,-0.3816182708555364
H,D,-0.4581284059210684
I,D,-0.3520474119606608
J,D,-0.4084425045607393
A,E,0.9188130663803296
B,E,0.8902233924967423
C,E,0.6571570573782957
D,E,0.9190600194379468
E,E,1.0
F,E,-0.6172064536579184
G,E,-0.5993602096372692
H,E,-0.6772805405402932
I,E,-0.5708148078008418
J,E,-0.6528140826495102
A,F,-0.4094011595624395
B,F,-0.3157622611941439
C,F,-0.2024184797215252
D,F,-0.3761669692039526
E,F,-0.6172064536579184
F,F,1.0
G,F,0.9877645909291436
H,F,0.9690619378921242
I,F,0.9770091377559872
J,F,0.969531669301598
A,G,-0.4216213551520529
B,G,-0.3269275794717522
C,G,-0.20755108590649
D,G,-0.3816182708555364
E,G,-0.5993602096372692
F,G,0.9877645909291436
G,G,1.0
H,G,0.9727152629598668
I,G,0.9656387228537292
J,G,0.9557527535103492
A,H,-0.4578680381876131
B,H,-0.4534998998194681
C,H,-0.2478944086224141
D,H,-0.4581284059210684
E,H,-0.6772805405402932
F,H,0.9690619378921242
G,H,0.9727152629598668
H,H,1.0
I,H,0.961149464540058
J,H,0.9102762062161346
A,I,-0.3681391774393323
B,I,-0.3029875317740618
C,I,-0.2522519600531083
D,I,-0.3520474119606608
E,I,-0.5708148078008418
F,I,0.9770091377559872
G,I,0.9656387228537292
H,I,0.961149464540058
I,I,1.0
J,I,0.929175311654471
A,J,-0.4813895969015147
B,J,-0.3294025834756106
C,J,-0.2898221295093998
D,J,-0.4084425045607393
E,J,-0.6528140826495102
F,J,0.969531669301598
G,J,0.9557527535103492
H,J,0.9102762062161346
I,J,0.929175311654471
J,J,1.0
