Time,M37351,T63266,T6313,H47921,F23197,F5677,H5708,S86968,M1608,W70332,W91453,W25637,M55212,W36662,H27930,W16407,PAO1,F22031,X9820,F9670,PA7,F34365,T52373,W45909,X78812,F63912,PA14,M74707,T38079,W60856,F30658
0.0,0.0023392274819501,0.0013660717188232,0.0010287695101779,0.0059833341666666,0.0032645219081438,0.0030565905764149,0.004916667,0.003222935641798,0.0038833335,0.0009649413445438,0.001764416483911,0.0017708338969754,0.0003878969327992,0.0032645219081438,0.0043666676666666,0.0002867074844912,0.0029703388599068,0.0064166673333333,0.0005536543252422,0.0045000018333333,0.0025949671001498,0.0055600018,0.0002529778370393,1.68665945590107e-05,0.0025607460571187,0.0061833326666666,0.0030509867932004,0.0007420620256867,0.0008016274231067,0.0036387983052558,0.0056675769536708
0.1,0.0023963800212845,0.0013660717188232,0.0010287695101779,0.0044423363372602,0.0033750310627434,0.0031079415579358,0.0038498876162422,0.0032504604337492,0.0037591592737921,0.0009649413445438,0.002040513846044,0.0017708338969754,0.0003878969327992,0.0033727386826611,0.0039653867124648,0.0002867074844912,0.0038361315745736,0.0056183911232744,0.0005536543252422,0.0038757961137604,0.0037516912236212,0.0071223107065859,0.0002529778370393,1.68665945590107e-05,0.0030240434057775,0.0053076369499931,0.0029906333135987,0.0007420620256867,0.0008016274231067,0.0037037611556532,0.0052072567167813
0.2,0.0024879681005601,0.0014184937062645,0.001196228874972,0.0038104395926372,0.0034127742733902,0.003114570353305,0.0036078264761073,0.0032686238977624,0.0038449767101514,0.0009649413445438,0.0025535307850603,0.0019181010634078,0.0004371488041053,0.0034325944344731,0.0038756408876856,0.0003915514739355,0.0038911434585284,0.0054043178896959,0.0005536543252422,0.0038000312681086,0.0040198122314128,0.0073831111437086,0.0003418040532119,3.23670936449098e-05,0.0036281418938669,0.0052665612198561,0.0030214960776207,0.0008367130058265,0.0008256406902865,0.0037951083460432,0.0051763901585902
0.3,0.0026369295888465,0.0018925115989568,0.0027104548531488,0.0036187269054663,0.0034171483933896,0.0030740557202818,0.0039077795174631,0.0032784172810003,0.0047037862324969,0.0009649413445438,0.0034892787975007,0.0033355811294648,0.0009633531034078,0.0034598482161726,0.003997987958975,0.0013395873909921,0.0029459611087466,0.0054433542189069,0.0005536543252422,0.004325581600551,0.0037553445919771,0.0064736152765825,0.0011450016781235,0.000247434741748,0.0044629667063772,0.006320557463047,0.003387602047109,0.0016925801779244,0.0010427770267888,0.0039243645359088,0.0056343644328945
0.4,0.0026938239825503,0.0017896944542544,0.0026365469750371,0.0037688679016359,0.0034842736010832,0.0031552654937422,0.0043752666980189,0.0033579088755754,0.0048383078721691,0.0012524960335788,0.0036033896807413,0.0038871664317738,0.0013870688194919,0.0035025120279195,0.0042625137655727,0.0013552415150501,0.0028207655780831,0.0054201997693387,0.0009307754553221,0.0047100775333311,0.0036487371399342,0.0062013288419578,0.001251590673527,0.0008610152125293,0.0042950536917517,0.0064952777098398,0.0034441033651924,0.0017372217439594,0.0009040378621823,0.0040419880933069,0.0055541154894314
0.5,0.0027204482214184,0.0013262975375492,0.0018625231081738,0.0041629181109856,0.0036268036710497,0.0033660958305678,0.004845984495305,0.0035123240459994,0.0047740264413593,0.0019234957517979,0.0035199847702927,0.0040633133915812,0.0016507459134824,0.0035529997611585,0.0047184934453394,0.00101514016165,0.0028882632747229,0.005350661490283,0.0018107756141346,0.0049316578899849,0.0035963772909134,0.0061403817779522,0.0011812233961621,0.0017292834415273,0.0034706429506214,0.0064695867718564,0.0034167595646596,0.0013472893101575,0.0003847159385206,0.0041338664013412,0.0051799421931712
0.6,0.0027896443309936,0.0012509573147626,0.0022907119151208,0.0039128379440613,0.0035819638611013,0.003325889741517,0.0041731207168921,0.0034445008549625,0.0039591306886989,0.0017159683389124,0.0033375060204319,0.0025617815132242,0.0008063183969114,0.0035781767146263,0.005160929908436,0.0013652556748523,0.002634619712688,0.0058260030228755,0.0012480912778686,0.0045478890435498,0.0033855632624379,0.0062755765984723,0.0013232164725268,0.0013947155349056,0.0029853460318388,0.0061869594610405,0.0032549105142177,0.0007465727920044,0.000113322103742,0.0041685974517786,0.0052944162964696
0.7,0.0028136632128112,0.0013260361482056,0.0029860287281065,0.0037498774684317,0.0034952514842727,0.0032279780410401,0.0037666400228944,0.0033233488683857,0.0033717780751759,0.0013713550672775,0.0030946804125477,0.001425659230047,0.0001911410214175,0.0035744452057123,0.0053278168497558,0.0018755679043754,0.0024907711973345,0.006579131468315,0.0008185457187934,0.0042609292783409,0.0032735595852624,0.0065420977972686,0.0014060808222086,0.0011299616568982,0.0028198539759436,0.0059944614451264,0.0031490279406135,0.000460576284241,1.6357493023812398e-05,0.0041652168690491,0.0053710559399021
0.8,0.0025687113942294,0.0028221037892762,0.0036148721150237,0.0042724086764184,0.0033896138614948,0.0030444429205958,0.0056018723442238,0.0031956917179112,0.0034919892780167,0.0010535786604552,0.0028253802375833,0.0019319850451965,0.0008290336396676,0.0033611000733991,0.0049751271298351,0.0022473651978024,0.0030822041193105,0.0072477668488579,0.0010586393272803,0.0044656464530372,0.0034568580702176,0.0068864021392153,0.0009405151843661,0.0011299616568982,0.0030143931683944,0.0062246561944142,0.0031857356072669,0.0008087997553653,1.6357493023812398e-05,0.0039202650504673,0.0051569458722275
0.9,0.0025128416464478,0.0026384857180054,0.0036232867673872,0.0043882909722389,0.0033777728461821,0.0030148553630718,0.0060343879710454,0.0032011299434308,0.0037936366736874,0.0012040402724179,0.0031906915432063,0.002487840031311,0.0010452138286419,0.0033173372076055,0.0048746743398603,0.0022354704523751,0.0031950828380094,0.0069841446847264,0.0014179297105763,0.0046719049464977,0.0038365553277776,0.0071472579674545,0.0006895765324042,0.0013234991768179,0.0036170378993837,0.0065591616654882,0.0033068481005093,0.0008030046759272,7.215472454808001e-05,0.0038919459742231,0.0051175197764813
