Data Type,100%,75%,50%,25%,0%
Qe [W],0.99734406,0.990224644,0.828582158,0.860910655,0.851212106
Qa [W],1.008348797,1.030065326,0.856254049,0.891016304,0.880587628
Mdot Hot [kg/s],0.041166464,0.041174097,0.041290036,0.041266848,0.041273804
Mdot Cold [kg/s],0.042665352,0.039311159,0.026663111,0.02919272,0.028433838
Qf [W],-0.023765515,-0.039840681,-0.027671891,-0.030105649,-0.029375522
U [W/m2.K],2.05003918,1.973412985,1.701949015,1.756241809,1.739953971
Mean Temp Efficiency [%],21.42424655,21.66519668,23.01893604,22.74818817,22.82941253
Vdot Hot [m3/min],4.16E-05,4.16E-05,4.18E-05,4.17474E-05,4.17548E-05
Vdot Cold [m3/min],4.28E-05,3.94E-05,2.67E-05,2.92767E-05,2.85162E-05
