Column1,"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
 ACCOUNTING ,,,,,,,,,,,,,
,45090.0,,ACC 201-A0BY,0,3,0,0,0,0,0,0.0,43696.0,43751.0
,45364.0,,ACC 201-A0Z2,0,3,1,1,1,1,1,1.0,43759.0,43814.0
,45091.0,,ACC 201-A0ZB,0,3,1,1,1,1,1,1.0,43696.0,43751.0
,45102.0,,ACC 202-A0BY,1,3,0,0,0,0,0,0.0,43759.0,43814.0
,45103.0,,ACC 202-A0ZB,1,3,1,1,1,1,1,1.0,43759.0,43814.0
,44601.0,,ACT 101-A0Z1,Fundamentals of Accounting I,3,1,1,1,1,1,1.0,43696.0,43751.0
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,,
,44746.0,,ACR 100-A001,2,3,2,2,2,2,2,2.0,43696.0,43814.0
,44747.0,,ACR 101-A001,3,2,2,3,3,3,2,2.0,43696.0,43814.0
,44852.0,,ACR 100-A0E1,2,3,0,0.708333333,0.784722222,2,3,2.0,43696.0,43814.0
,44853.0,,ACR 101-A0E1,3,2,0,0.763888889,0.833333333,3,3,2.0,43696.0,43814.0
,44854.0,,ACR 112-A001,Sheet Metal Fabrication,3,2,0,4,2,4,2.0,43696.0,43814.0
,44855.0,,ACR 113-A001,Sheet Metal Fabrication Lab,2,2,1,1,3,4,2.0,43696.0,43814.0
,44748.0,,ACR 130-A0E1,Electrical Components,3,2,4,5,2,2,2.0,43696.0,43814.0
,44749.0,,ACR 131-A001,Electrical Components Lab,2,2,5:20 PM,6,3,2,2.0,43696.0,43814.0
,44752.0,,ACR 170-A001,Heat Load/Duct Design,3,3,2,3,2,2,2.0,43696.0,43814.0
,44750.0,,ACR 250-A001,Cooling and Dehumidification,3,0,0,7,2,2,2.0,43696.0,43814.0
,44751.0,,ACR 251-A001,Cooling & Dehumidification Lab,2,0,5,4,2,2,2.0,43696.0,43814.0
,44843.0,,ACR 290-A0Y1,Journeyman Preparation,3,1,1,1,4,2,0.0,43696.0,43814.0
,44880.0,,ACR 291-A001,4,1,1,2,8,2,2,2.0,43696.0,43814.0
,44753.0,,ACR 299-A001,5,2,4,1,1,4,2,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,,
,44703.0,,ADX 120-A001,Basic Automotive Electricity,3,0,0,9,5,5,2.0,43696.0,43814.0
,44705.0,,0,6,2,3,6,10,6,5,2.0,43696.0,43814.0
,44705.0,,0,6,2,5,0,10,6,5,2.0,43696.0,43814.0
,44707.0,,ADX 150-A001,Engine Repair,3,6,0,9,5,5,2.0,43696.0,43814.0
,44709.0,,1,7,2,7,0,10,7,5,2.0,43696.0,43814.0
