SDGs Id no.,Target,Tar. no,Ind. No,COPY SD,Sustainable development dimension,Indicator,Relevance with other SDGs
1,4,11.1,51.0,2,2,Share of the population using reliable electricity (availability more than 50% of time in a day),"1, 3, 5,7, 9,  12 "
6,"By 2030 ensure universal access to affordable, reliable, and modern energy services",7.1,7.1,1,1,"Primary energy by type (coal, oil, gas, renewables, or biomass)",
1,4,11.1,0.0,2,2,Percentage of the total households connected with natural gas supply,
1,4,11.1,0.0,2,2,Percentage of the total households with an electricity connection ,
1,4,11.1,0.0,2,2,Total electricity consumption per household per year,
1,4,11.1,0.0,2,2,Average length of electrical interruptions,
6,8,7.2,7.3,1,1,Share of energy from renewables,
6,8,7.2,0.0,1,1,"The percentage of total energy derived from renewable sources, as a share of the city’s total energy consumption ",
1,"Support least developed countries, including through financial and technical assistance, for sustainable and resilient buildings utilizing local materials",11.c,11.4,0,0,Presence of urban building codes stipulating either the use of local materials and/or new energy efficient technologies or with incentives for the same,
1,4,11.1,46.0,2,2,Percentage of population using safely managed sanitation services,"1, 2, 3, 9, 11"
1,4,11.1,0.0,2,2,Percentage of households with a home connection to the sewer system,
3,9,6.2,6.1,2,2,Percentage of population practicing open defecation,
3,9,6.2,6.3,1,1,Proportion of the population connected to collective sewers or with on-site storage of all domestic wastewaters,
1,4,11.1,66.0,2,2,Percentage of urban population living in slums or informal settlements (MDG Indicator),"1,6"
1,7,11.2,58.0,2,2,Access to all-weather road (% access within [x] km distance to road),"2, 7, 11"
1,7,11.2,67.0,2,2,Percentage of people within 0.5km of public transit running at least every 20 minutes,9
1,7,11.2,0.0,2,2,"Kilometers of road per 100,000 population",
1,7,11.2,0.0,2,2,"Modal split (specifically public transport) share of each mode  (buses and coaches, and trains)",
1,7,11.2,0.0,2,2,"Kilometers of roads dedicated exclusively to public transit per 100,000 population",
1,7,11.2,0.0,2,2,Length of cycling lanes and the public transport network,
1,10,11.7,70.0,2,2,Area of public space as a proportion of total city space,"13,17"
1,10,11.7,0.0,1,1,"Green area per 100,000 residents",
1,10,11.7,68.0,1,1,"[Ratio of land consumption rate to population growth rate, at comparable scale] – to be developed","3,12"
1,10,11.7,0.0,2,2,(Net) urban population density,
7,"Enhance the global partnership for sustainable development, complemented by multi-stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the sustainable development goals in all countries, in particular developing countries",17.6,0.0,2,2,"Workshop, seminars, and training related activities for capacity-building",
7,"Enhance the global partnership for sustainable development, complemented by multi-stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the sustainable development goals in",17.6,0.0,2,2,"Co-ordination mechanism to mainstream the climate resilience in city, including sector, planning",
3,"By 2030, expand international cooperation and capacity-building support to developing countries in water and sanitation related activities and programs, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies",6.a,6.8,2,2,[Indicator on international cooperation and capacity building in water and sanitation-related activities] – to be developed,
3,Support and strengthen the participation of local communities for improving water and sanitation management,6.b,6.9,2,2,[Indicator on participation of local communities for improving water and sanitation management] – to be developed,
1,3,11.6,0.0,1,1,Noise pollution,
